institution,type,doi,photo_article_title,photo_journal_title,photo_journal_volume,photo_journal_issue,photo_journal_year,photo_journal_inclusive_pages,photo_article_author,transaction_status,transaction_date,issn,base_fee,lending_library,reason_for_cancellation,call_number,location,maxcost,document_type,system_id,ifm_cost,copyright_payment_method,ccc_number,copyright_comp,article_title,journal_title,volume,issue,year,pages,article_author,x_1,cited_in,creation_date,photo_item_publisher,notes_on_access,notes,randon_number_generator,journal_volume,journal_issue,journal_year,journal_inclusive_pages,status,doi_input,doi_present,oabutton_query,oabutton_queryname,oabutton_match,oabutton_url,oabutton_type,oabutton_source,oabutton_title,oabutton_oa_result
pacific,borrow,NA,"Assisted living communities: how an aging population, health care reform, and changes in state regulations will continue to drive growth.(Economic Environment)",The RMA journal.,September 1,NA,2010,16-,",",Request Finished,42721.30562288194,1531-0558,NA,ORU,NA,NA,NA,NA,Article,OCLC,NA,NA,NA,US:CCL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"Assisted living communities: how an aging population, health care reform, and changes in state regulations will continue to drive growth.(Economic Environment)",title,"TITLE:Assisted living communities: how an aging population, health care reform, and changes in state regulations will continue to drive growth.(Economic Environment)",NA,NA,NA,NA,oa_not_found
pacific,borrow,NA,The Media and the Presidency,Presidential studies quarterly.,16,1,1986,11-,"Schmertz,",Request Finished,42906.313657175924,0360-4918,NA,MWS,NA,NA,NA,NA,Article,OCLC,NA,NA,NA,US:CCL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,The Media and the Presidency,title,TITLE:The Media and the Presidency,NA,NA,NA,NA,oa_not_found
pacific,borrow,NA,I Kuū Mau Mau: How Kānaka Maoli Tried To Sustain National Identity Within the United States Political System.,American studies.,45,3,2004,9-31,"Silva, Noenoe K.,",Request Finished,42753.30461886574,0026-3079,NA,OWS,NA,NA,NA,NA,Article,OCLC,NA,NA,NA,US:CCL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,I Kuū Mau Mau: How Kānaka Maoli Tried To Sustain National Identity Within the United States Political System.,title,TITLE:I Kuū Mau Mau: How Kānaka Maoli Tried To Sustain National Identity Within the United States Political System.,NA,NA,NA,NA,oa_not_found
pacific,borrow,NA,Dihydroergotamine therapy in orthostatic hypotension due to psychotropic drugs.,"International journal of clinical pharmacology, therapy, and toxicology.",24,9,1986,465-,"Thulesius, O",Request Finished,42709.31788487268,0174-4879,NA,TOL,NA,NA,NA,NA,Article,OCLC,NA,NA,NA,US:CCL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Dihydroergotamine therapy in orthostatic hypotension due to psychotropic drugs.,title,TITLE:Dihydroergotamine therapy in orthostatic hypotension due to psychotropic drugs.,NA,NA,NA,NA,oa_not_found
pacific,borrow,NA,Clozapine and the development of salivary gland swelling: a case study.,The Journal of clinical psychiatry.,56,11,1995,511-,"Vasile, J S",Request Finished,42648.319707256946,0160-6689,NA,OTU,NA,NA,NA,NA,Article,OCLC,NA,NA,NA,US:CCL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Clozapine and the development of salivary gland swelling: a case study.,title,TITLE:Clozapine and the development of salivary gland swelling: a case study.,http://europepmc.org/backend/ptpmcrender.fcgi?accid=PMC6068101&blobtype=pdf,article,eupmc,NA,oa_found
pacific,borrow,NA,Status of rehabilitation education in China,中国康复医学杂志/#/中國康復醫學雜誌 [[Chung Kuo K'Ang Fu I Hsueh Tsa Chih]],23,2,2008,165-,"Hu, Z",Request Finished,42897.29548642361,1001-1242,NA,MDUNLM,NA,NA,NA,NA,Article,DOC,NA,NA,NA,US:CCL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Status of rehabilitation education in China,title,TITLE:Status of rehabilitation education in China,NA,NA,NA,NA,oa_not_found
pacific,borrow,NA,The role of occupational therapy in health promotion of adults with developmental disabilities.,Developmental Disabilities Special Interest Section quarterly /,25,4,2002,1-,"Herge EA,",Request Finished,42680.31496211806,1093-7196,NA,PCP,NA,NA,NA,NA,Article,OCLC,NA,NA,NA,US:CCL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,The role of occupational therapy in health promotion of adults with developmental disabilities.,title,TITLE:The role of occupational therapy in health promotion of adults with developmental disabilities.,NA,NA,NA,NA,oa_not_found
pacific,borrow,NA,[Nosocomial acquisition of Clostridium difficile infections],Harefuah,126,3,1994,"121-5,",Feldman J;Yaretzky A;Alterman P,Request Finished,42800.78619212963,0017-7768,NA,MDUNLM,NA,NA,NA,NA,Article,DOC,NA,NA,NA,US:CCL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,[Nosocomial acquisition of Clostridium difficile infections],title,TITLE:[Nosocomial acquisition of Clostridium difficile infections],NA,NA,NA,NA,oa_not_found
pacific,borrow,NA,Reflections on the COT SS -- Mental Health's Special Interest Group in Eating Disorders' 8th annual conference: 'Meal cookery for adult and adolescent clients with eating disorders; methods and research outcomes' held on 04.12.2009.,Mental health occupational therapy.,15,1,2010,15-,"Lock L,",Request Finished,42781.69721064815,1363-4682,NA,NTE,NA,NA,NA,NA,Article,OCLC,NA,NA,NA,US:CCL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Reflections on the COT SS -- Mental Health's Special Interest Group in Eating Disorders' 8th annual conference: 'Meal cookery for adult and adolescent clients with eating disorders; methods and research outcomes' held on 04.12.2009.,title,TITLE:Reflections on the COT SS -- Mental Health's Special Interest Group in Eating Disorders' 8th annual conference: 'Meal cookery for adult and adolescent clients with eating disorders; methods and research outcomes' held on 04.12.2009.,NA,NA,NA,NA,oa_not_found
pacific,borrow,NA,Ocular injuries in coal mines.,Journal of the All-India Ophthalmological Society,16,4,1968,186-91,Laxminarayan,Request Finished,42735.30566145833,0044-7307,NA,MDUNLM,NA,NA,NA,NA,Article,DOC,NA,NA,NA,US:CCL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Ocular injuries in coal mines.,title,TITLE:Ocular injuries in coal mines.,NA,NA,NA,NA,oa_not_found
pacific,borrow,NA,The plurality of pluralism: youth movements and the communal discourse of Jewish diversity,The Jewish journal of sociology.,53,NA,2011,57-,"Abramson, Sara,",Request Finished,42826.308871099536,0021-6534,NA,OA,NA,NA,JOURNAL WEBSITE,NA,Article,OTH,NA,NA,NA,US:CCL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,The plurality of pluralism: youth movements and the communal discourse of Jewish diversity,title,TITLE:The plurality of pluralism: youth movements and the communal discourse of Jewish diversity,NA,NA,NA,NA,oa_not_found
pacific,borrow,NA,[Effects of resveratrol-induced cellular autophagy in contro,Yao xue xue bao = Acta pharmaceutica sinica.,51,1,2016,18-22,Dong W;Wang R,Request Finished,42707.305806018514,0513-4870,NA,MDUNLM,NA,NA,NA,NA,Article,DOC,NA,NA,NA,US:CCG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,[Effects of resveratrol-induced cellular autophagy in contro,title,TITLE:[Effects of resveratrol-induced cellular autophagy in contro,NA,NA,NA,NA,oa_not_found
pacific,borrow,NA,"Animal-Assisted Therapy: An Exploration of Its History, Healing Benefits, and How Skilled Nursing Facilities Can Set Up Programs.",The annals of long-term care : the official journal of the American Medical Directors Association.,22,10,2014,27-,"Ernst, Lorraine,",Request Finished,42693.29825987268,1524-7929,NA,VYT,NA,NA,NA,NA,Article,OCLC,NA,NA,NA,US:CCG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"Animal-Assisted Therapy: An Exploration of Its History, Healing Benefits, and How Skilled Nursing Facilities Can Set Up Programs.",title,"TITLE:Animal-Assisted Therapy: An Exploration of Its History, Healing Benefits, and How Skilled Nursing Facilities Can Set Up Programs.",NA,NA,NA,NA,oa_not_found
pacific,borrow,NA,"""恨""の概念の定義",Daigakuin kenkyū nenpō. sōgō seisaku kenkyūkahen.,NA,4,2000,135～148,上別府正信,Request Finished,42928.59286443287,NA,NA,LWU,NA,NA,NA,NA,Article,OCLC,$10.00,NA,NA,US:CCL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"""恨""の概念の定義",title,"TITLE:""恨""の概念の定義",http://findresearcher.sdu.dk/portal/da/publications/senescence-is-not-inevitable(9652cae1-8a1b-48f0-ae35-3937f51fb292).html,article,base,NA,oa_found
pacific,borrow,NA,Can Plants Practice Mimicry to Avoid Grazing by Mammalian Herbivores?,Oikos.,66,3,1993,501-,",",Request Finished,42816.31789583333,0030-1299,NA,EZC,NA,NA,NA,NA,Article,OCLC,NA,NA,NA,US:CCL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Can Plants Practice Mimicry to Avoid Grazing by Mammalian Herbivores?,title,TITLE:Can Plants Practice Mimicry to Avoid Grazing by Mammalian Herbivores?,NA,NA,NA,NA,oa_not_found
pacific,borrow,NA,Preventing diabetic ketoacidosis: Bridging the gap between primary and secondary care.,Diabetes and primary care.,18,4,2016,179-,"Mills, Lesley S.,",Request Finished,42695.31012758102,1466-8955,NA,WS7,NA,NA,NA,NA,Article,OCLC,NA,NA,NA,US:CCG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Preventing diabetic ketoacidosis: Bridging the gap between primary and secondary care.,title,TITLE:Preventing diabetic ketoacidosis: Bridging the gap between primary and secondary care.,NA,NA,NA,NA,oa_not_found
pacific,borrow,NA,The utility of clinical neurophysiological and quantitative sensory testing for trigeminal neuropathy.,Journal of orofacial pain.,18,4,2004,355-,"Jääskeläinen, Satu K",Request Finished,42624.29936284722,1064-6655,NA,IAT,NA,NA,NA,NA,Article,OCLC,NA,NA,NA,US:CCL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,The utility of clinical neurophysiological and quantitative sensory testing for trigeminal neuropathy.,title,TITLE:The utility of clinical neurophysiological and quantitative sensory testing for trigeminal neuropathy.,NA,NA,NA,NA,oa_not_found
pacific,borrow,NA,Listening to Parents: Understanding the Impact of ASD on Families.,Zero to three.,28,4,2008,46-,"Lytel,",Request Finished,42896.32996265046,NA,NA,ASC,NA,NA,NA,NA,Article,OCLC,NA,NA,NA,US:CCL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Listening to Parents: Understanding the Impact of ASD on Families.,title,TITLE:Listening to Parents: Understanding the Impact of ASD on Families.,NA,NA,NA,NA,oa_not_found
pacific,borrow,NA,The influence of socializing agents in the female sport-participation process.,Adolescence.,20,77,1985,73-,"Higginson, D.C.,",Request Finished,42681.32693121528,0001-8449,NA,OHS,NA,NA,NA,NA,Article,OCLC,NA,NA,NA,US:CCL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,The influence of socializing agents in the female sport-participation process.,title,TITLE:The influence of socializing agents in the female sport-participation process.,https://www.jhse.ua.es/article/view/2013-v8-n3-parental-attitudes-towards-extracurricular-physical-and-sports-activity-in-school-age-children,article,base,NA,oa_found
pacific,borrow,NA,Pioneer settlers' abuse of land laws in the nineteenth century: The case of the Boise River...,Agricultural history.,67,3,1993,47-,"Valentine, Rodney J.,",Request Finished,42857.326138344906,0002-1482,NA,ORE,NA,NA,NA,NA,Article,OCLC,NA,NA,NA,US:CCL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Pioneer settlers' abuse of land laws in the nineteenth century: The case of the Boise River...,title,TITLE:Pioneer settlers' abuse of land laws in the nineteenth century: The case of the Boise River...,NA,NA,NA,NA,oa_not_found
pacific,borrow,NA,"Muscle energy technique: definition, explanation, methods of procedure.",The Journal of the American Osteopathic Association.,81,4,1981,249-,"Goodridge, J P",Request Finished,42828.299872800926,0098-6151,NA,UNB,NA,NA,NA,NA,Article,OCLC,NA,NA,NA,US:CCL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"Muscle energy technique: definition, explanation, methods of procedure.",title,"TITLE:Muscle energy technique: definition, explanation, methods of procedure.",NA,NA,NA,NA,oa_not_found
pacific,borrow,NA,Stanley Milgram's Obedience to Authority experiments : towards an understanding of their relevance in explaining aspects of the Nazi Holocaust : a thesis submitted to the Victoria University of,NA,NA,NA,2009,NA,"Russell, Nestar",Request Finished,42897.295483333335,NA,NA,OA,NA,NA,UNIVERSITY REPOSITORY,NA,Thesis,OTH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Stanley Milgram's Obedience to Authority experiments : towards an understanding of their relevance in explaining aspects of the Nazi Holocaust : a thesis submitted to the Victoria University of,title,TITLE:Stanley Milgram's Obedience to Authority experiments : towards an understanding of their relevance in explaining aspects of the Nazi Holocaust : a thesis submitted to the Victoria University of,NA,NA,NA,NA,oa_not_found
pacific,borrow,NA,Aging in place: a wellness approach,Continuing care.,22,6,2003,27-,"Lantz, Wendy,",Request Finished,42864.333041701386,1057-428X,NA,OPV,NA,NA,NA,NA,Article,OCLC,NA,NA,NA,US:CCL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Aging in place: a wellness approach,title,TITLE:Aging in place: a wellness approach,NA,NA,NA,NA,oa_not_found
pacific,borrow,NA,"Race, age and jury decisions in a civil rape trial",The American journal of forensic psychology.,15,1,1997,37-55,"Foley,",Request Finished,42773.31142083333,0733-1290,NA,SHH,NA,NA,NA,NA,Article,OCLC,NA,NA,NA,US:CCL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"Race, age and jury decisions in a civil rape trial",title,"TITLE:Race, age and jury decisions in a civil rape trial",NA,NA,NA,NA,oa_not_found
pacific,borrow,NA,A Wild Idea.,Nature Conservancy.,Jun/July,NA,2016,30-,"CRAWFORD, AMY,",Request Finished,42697.3179090625,1540-2428,NA,AFU,NA,NA,NA,NA,Article,OCLC,NA,NA,NA,US:CCG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,A Wild Idea.,title,TITLE:A Wild Idea.,NA,NA,NA,NA,oa_not_found
pacific,borrow,NA,How a hospital can maintain a good community reputation.,Hospital management.,75,2,1953,18-,CARLETON S,Request Finished,42766.31158260417,0018-5744,NA,EYW,NA,NA,NA,NA,Article,OCLC,NA,NA,NA,US:CCL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,How a hospital can maintain a good community reputation.,title,TITLE:How a hospital can maintain a good community reputation.,NA,NA,NA,NA,oa_not_found
pacific,borrow,NA,[Electroacupuncture for post-stroke urinary incontinence: a,Zhongguo zhen jiu = Chinese acupuncture & moxibustion.,33,9,2013,769-73,Song FJ;Jiang SH;Zheng SL;Ye TS;Zhang H;Zhu WZ;Chen B;Yang Y,Request Finished,42751.331835763885,0255-2930,NA,ORUGYK,NA,NA,NA,NA,Article,DOC,NA,NA,NA,US:CCG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,[Electroacupuncture for post-stroke urinary incontinence: a,title,TITLE:[Electroacupuncture for post-stroke urinary incontinence: a,NA,NA,NA,NA,oa_not_found
pacific,borrow,NA,Pain elicited during intraoral infiltration with buffered lidocaine.,American journal of dentistry.,9,1,1996,5-,"Primosch, R E",Request Finished,42822.30065208333,0894-8275,NA,UMK,NA,NA,NA,NA,Article,OCLC,NA,NA,NA,US:CCL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Pain elicited during intraoral infiltration with buffered lidocaine.,title,TITLE:Pain elicited during intraoral infiltration with buffered lidocaine.,NA,NA,NA,NA,oa_not_found
pacific,borrow,NA,"Relationships among Movement Reinvestment, Decision-Making Reinvestment, and Perceived Choking.",International Journal of Coaching Science.,10,1,2016,25-,"Takehiro Iwatsuki,",Request Finished,42869.32047114583,1975-8286,NA,NXW,NA,NA,NA,NA,Article,OCLC,NA,NA,NA,US:CCG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"Relationships among Movement Reinvestment, Decision-Making Reinvestment, and Perceived Choking.",title,"TITLE:Relationships among Movement Reinvestment, Decision-Making Reinvestment, and Perceived Choking.",NA,NA,NA,NA,oa_not_found
pacific,borrow,NA,Psychosocial profile of a female psychopath,The American journal of forensic psychology.,17,2,1999,63-,"Nesca,",Request Finished,42893.334921215275,NA,NA,JAX,NA,NA,NA,NA,Article,OCLC,NA,NA,NA,US:CCL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Psychosocial profile of a female psychopath,title,TITLE:Psychosocial profile of a female psychopath,NA,NA,NA,NA,oa_not_found
pacific,borrow,NA,Off the mat: Piloting a mindfulness based curriculum with adolescents in East Harlem.,International Journal of Child Health and Human Development,7,3,2014,not sure,"Maureen Braun, Brenda Levy, Geoffrey Collins and Leora Mogilner",Request Finished,42872.31239756944,1939-5965,NA,NBCHBU,NA,NA,NA,NA,Article,DOC,NA,NA,NA,CCG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Off the mat: Piloting a mindfulness based curriculum with adolescents in East Harlem.,title,TITLE:Off the mat: Piloting a mindfulness based curriculum with adolescents in East Harlem.,NA,NA,NA,NA,oa_not_found
pacific,borrow,NA,(ETA-5-C5H5) DIPHENYLPHOSPHINOETHANE IRON(II) DERIVATIVES FROM (ETA-5-C5H5)FE(CO)2I - SYNTHESIS AND MOSSBAUER-SPECTRA,Boletín de la Sociedad Chilena de Química.,37,3,1992,211-,"DIAZ, C",Request Finished,42745.31161157407,0366-1644,NA,CUY,NA,NA,NA,NA,Article,OCLC,$17.00,NA,NA,US:CCL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,(ETA-5-C5H5) DIPHENYLPHOSPHINOETHANE IRON(II) DERIVATIVES FROM (ETA-5-C5H5)FE(CO)2I - SYNTHESIS AND MOSSBAUER-SPECTRA,title,TITLE:(ETA-5-C5H5) DIPHENYLPHOSPHINOETHANE IRON(II) DERIVATIVES FROM (ETA-5-C5H5)FE(CO)2I - SYNTHESIS AND MOSSBAUER-SPECTRA,NA,NA,NA,NA,oa_not_found
pacific,borrow,NA,Comparative evaluation of the efficacy of turmeric and curcumin as a local drug delivery system: a clinicomicrobiological study.,General dentistry.,60,5,2012,e283-,"Kudva, Praveen",Request Finished,42709.3178820949,0363-6771,NA,LCE,NA,SHELVED ALPHABETICALLY BY TITLE,Hillsboro: Periodicals,NA,Article,OCLC,NA,NA,NA,US:CCG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Comparative evaluation of the efficacy of turmeric and curcumin as a local drug delivery system: a clinicomicrobiological study.,title,TITLE:Comparative evaluation of the efficacy of turmeric and curcumin as a local drug delivery system: a clinicomicrobiological study.,NA,NA,NA,NA,oa_not_found
pacific,borrow,NA,"Solitary confinement in the correctional setting: Goals, problems, and suggestions.",Corrective and social psychiatry and journal of behavior technology methods and therapy.,20,3,1974,10-,"Suedfeld,",Request Finished,42820.31231296296,0093-1551,NA,SDB,NA,NA,NA,NA,Article,OCLC,NA,NA,NA,US:CCL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"Solitary confinement in the correctional setting: Goals, problems, and suggestions.",title,"TITLE:Solitary confinement in the correctional setting: Goals, problems, and suggestions.",NA,NA,NA,NA,oa_not_found
pacific,borrow,NA,The incidence of adverse reactions following 4% septocaine (articaine) in children.,Pediatric dentistry.,30,5,2008,424-,"Adewumi A,",Request Finished,42826.30888325231,0164-1263,NA,UMK,NA,NA,NA,NA,Article,OCLC,NA,NA,NA,US:CCL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,The incidence of adverse reactions following 4% septocaine (articaine) in children.,title,TITLE:The incidence of adverse reactions following 4% septocaine (articaine) in children.,NA,NA,NA,NA,oa_not_found
pacific,borrow,NA,Validation study of WOMAC: a health status instrument for measuring clinically important patient-relevant outcomes following total hip or knee arthroplasty in osteoarthritis,The Journal of rheumatology.,15,12,1988,1833-40,"Bellamy N, Buchanan WW, Goldsmith CH, Campbell J, Stitt L",Request Finished,42745.31160439815,NA,NA,UAA,NA,NA,NA,NA,Article,OCLC,NA,NA,NA,US:CCL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Validation study of WOMAC: a health status instrument for measuring clinically important patient-relevant outcomes following total hip or knee arthroplasty in osteoarthritis,title,TITLE:Validation study of WOMAC: a health status instrument for measuring clinically important patient-relevant outcomes following total hip or knee arthroplasty in osteoarthritis,NA,NA,NA,NA,oa_not_found
pacific,borrow,NA,The development of occupational therapy education in Central and Eastern Europe.,"Design for living life : College of Occupational Therapists annual conference : abstracts : College of Occupational Therapists, 27th annual conference and exhibition : 8th-11th July 2003, SECC Glasgow.",Proceedings - abstract,NA,2003,140-141,van Bruggen H; Carnduff A,Request Finished,42758.31105552083,NA,NA,BRI,NA,NA,NA,NA,Book Chapter,OCLC,$31.00,NA,NA,US:CCL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,The development of occupational therapy education in Central and Eastern Europe.,title,TITLE:The development of occupational therapy education in Central and Eastern Europe.,NA,NA,NA,NA,oa_not_found
pacific,borrow,NA,[Brain renin-angiotensin-aldosterone system and cognitive fu,Nihon rinshō.,72,4,2014,641-7,Horiuchi M,Request Finished,42631.30628171296,0047-1852,NA,OHUOSU,NA,NA,NA,NA,Article,DOC,NA,NA,NA,US:CCG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,[Brain renin-angiotensin-aldosterone system and cognitive fu,title,TITLE:[Brain renin-angiotensin-aldosterone system and cognitive fu,NA,NA,NA,NA,oa_not_found
pacific,borrow,NA,Helping Youth Prepare for Careers: What Can Out-of-School Time Programs Do?,Afterschool Matters,NA,16,2012,21-30,"Hynes, Kathryn",Request Finished,42889.31015605324,NA,NA,OA,NA,NA,ERIC,NA,Article,OTH,NA,NA,NA,US:CCL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Helping Youth Prepare for Careers: What Can Out-of-School Time Programs Do?,title,TITLE:Helping Youth Prepare for Careers: What Can Out-of-School Time Programs Do?,NA,NA,NA,NA,oa_not_found
pacific,borrow,NA,"Sign language users have better reaction times and peripheral vision, whether deaf or hearing",British journal of hospital medicine.,78,3,2017,130-,"Codina,",Request Finished,42906.31366130787,0007-1064,NA,GAUDTL,NA,NA,NA,NA,Article,DOC,NA,NA,NA,US:CCG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"Sign language users have better reaction times and peripheral vision, whether deaf or hearing",title,"TITLE:Sign language users have better reaction times and peripheral vision, whether deaf or hearing",NA,NA,NA,NA,oa_not_found
pacific,borrow,NA,Becoming Adults: One-Year Impact Findings from the Youth Villages Transitional Living Evaluation,NA,NA,NA,2015,NA,"Valentine, Erin",Request Finished,42851.32444548611,NA,NA,OA,NA,NA,PUBLISHER WEBSITE,NA,Report,OTH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Becoming Adults: One-Year Impact Findings from the Youth Villages Transitional Living Evaluation,title,TITLE:Becoming Adults: One-Year Impact Findings from the Youth Villages Transitional Living Evaluation,NA,NA,NA,NA,oa_not_found
pacific,borrow,NA,"Does early intervention for psychosis work? An analysis of outcomes of early intervention in psychosis based on the critical period hypothesis, measured by number of admissions and bed days used over a period of six years, the first three in an early",Psychiatria Danubina.,22 Suppl 1,1,2010,S72-,"Agius, Mark",Request Finished,42704.42190972222,0353-5053,NA,OA,NA,NA,JOURNAL WEBSITE,NA,Article,OTH,NA,NA,NA,US:CCL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"Does early intervention for psychosis work? An analysis of outcomes of early intervention in psychosis based on the critical period hypothesis, measured by number of admissions and bed days used over a period of six years, the first three in an early",title,"TITLE:Does early intervention for psychosis work? An analysis of outcomes of early intervention in psychosis based on the critical period hypothesis, measured by number of admissions and bed days used over a period of six years, the first three in an early",NA,NA,NA,NA,oa_not_found
pacific,borrow,NA,A validated case study of facilitated communication.,Mental retardation.,34,4,1996,220-,"Weiss,",Request Finished,42693.29825829861,0047-6765,NA,HEI,NA,NA,NA,NA,Article,OCLC,$0.00,NA,NA,US:CCL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,A validated case study of facilitated communication.,title,TITLE:A validated case study of facilitated communication.,NA,NA,NA,NA,oa_not_found
pacific,lending,10.1177/1460458215577994,NA,NA,NA,NA,NA,NA,NA,Request Finished,42810.69550609954,1460-4582,NA,NA,NA,NA,NA,NA,NA,OCLC,NA,NA,NA,NA,Development testing of mobile health interventions for cancer patient self-management: A review.,Health informatics journal.,22,3,9 2016,633-,"Darlow, Susan",NA,"Sheffield, UK : Sheffield Academic Press, [1997]-",42810.69163136574,"Sheffield, UK : Sheffield Academic Press",NA,NA,NA,NA,NA,NA,NA,NA,10.1177/1460458215577994,1,10.1177/1460458215577994,doi,https://doi.org/10.1177/1460458215577994,NA,NA,NA,NA,oa_not_found
pacific,lending,10.1001/archopht.1984.01040031266033,NA,NA,NA,NA,NA,NA,NA,Request Finished,42584.4994883912,0003-9950,NA,NA,NA,NA,NA,NA,NA,DOC,NA,NA,NA,NA,A miniature compliance monitor for eyedrop medication.,"Archives of ophthalmology (Chicago, Ill. : 1960)",102,10,1984,1550-4,Kass MA;Meltzer DW;Gordon M,NA,NA,42580.89648460648,"American Medical Association, Chicago, I",NA,NA,NA,NA,NA,NA,NA,NA,10.1001/archopht.1984.01040031266033,1,10.1001/archopht.1984.01040031266033,doi,https://doi.org/10.1001/archopht.1984.01040031266033,NA,NA,NA,NA,oa_not_found
